ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-02-02,7273.722710858017,-1439.6532793734614,17743.205640047494,7273.722710858017,7273.722710858017,698.4878750683077,698.4878750683077,698.4878750683077,1079.335726915259,1079.335726915259,1079.335726915259,-380.8478518469513,-380.8478518469513,-380.8478518469513,0.0,0.0,0.0,7972.210585926325
2017-02-03,7329.930187255108,-3135.677281670274,16302.681023839788,7329.930187255108,7329.930187255108,-132.94991678499707,-132.94991678499707,-132.94991678499707,155.00960469277285,155.00960469277285,155.00960469277285,-287.9595214777699,-287.9595214777699,-287.9595214777699,0.0,0.0,0.0,7196.980270470111
2017-02-04,7395.4263583438305,-8200.958769064118,11655.498237466858,7395.4263583438305,7395.4263583438305,-5544.45302257316,-5544.45302257316,-5544.45302257316,-5378.7168040890565,-5378.7168040890565,-5378.7168040890565,-165.7362184841031,-165.7362184841031,-165.7362184841031,0.0,0.0,0.0,1850.973335770671
2017-02-05,7460.922529432554,-6033.5102339366595,13062.524663654141,7460.922529432554,7460.922529432554,-4352.674409484302,-4352.674409484302,-4352.674409484302,-4333.25401690442,-4333.25401690442,-4333.25401690442,-19.420392579881774,-19.420392579881774,-19.420392579881774,0.0,0.0,0.0,3108.2481199482527
2017-02-06,7526.418700521277,2024.2189795390427,20618.362476747552,7526.418700521277,7526.418700521277,3455.6969090759867,3455.6969090759867,3455.6969090759867,3310.454895356508,3310.454895356508,3310.454895356508,145.24201371947848,145.24201371947848,145.24201371947848,0.0,0.0,0.0,10982.115609597264
2017-02-07,7591.914871610001,848.0602104567163,20225.20418995354,7591.914871610001,7591.914871610001,3300.68048425883,3300.68048425883,3300.68048425883,2978.4511671178298,2978.4511671178298,2978.4511671178298,322.2293171409997,322.2293171409997,322.2293171409997,0.0,0.0,0.0,10892.59535586883
2017-02-08,7657.411042698723,1145.8773241612619,20239.683962918873,7657.411042698723,7657.411042698723,2694.1885873676956,2694.1885873676956,2694.1885873676956,2188.719426902116,2188.719426902116,2188.719426902116,505.4691604655798,505.4691604655798,505.4691604655798,0.0,0.0,0.0,10351.59963006642
2017-02-09,7722.907213787446,-16.206605409204577,18068.842013552832,7722.907213787446,7722.907213787446,1768.3897092477239,1768.3897092477239,1768.3897092477239,1079.3357269127805,1079.3357269127805,1079.3357269127805,689.0539823349432,689.0539823349432,689.0539823349432,0.0,0.0,0.0,9491.29692303517
2017-02-10,7788.403384876169,-721.3284971980572,18435.809432970793,7788.403384876169,7788.403384876169,1022.4501143181191,1022.4501143181191,1022.4501143181191,155.00960468800062,155.00960468800062,155.00960468800062,867.4405096301185,867.4405096301185,867.4405096301185,0.0,0.0,0.0,8810.853499194289
2017-02-11,7853.899555964893,-6288.193118426436,12752.9788937988,7853.899555964893,7853.899555964893,-4343.089206998128,-4343.089206998128,-4343.089206998128,-5378.716804096187,-5378.716804096187,-5378.716804096187,1035.6275970980573,1035.6275970980573,1035.6275970980573,0.0,0.0,0.0,3510.8103489667646
